timestamp,tweet_text,username,all_hashtags
2019-03-14 15:47:01,“I was Born for this moment” - @BetoORourke 😬 #BetoForPresident 😬 @nytimes @dcexaminer @washingtonpost @thehill @DailyMail @DailyMailUK @HouseGOP @SenateGOP @HouseDemocrats @SenateDems #Election2020 #Tcot @ASavageNation @RushLimbaughEIB #TrumpTrain #instagramdown #FacebookDown https://t.co/unLerKGHC0,HighVoltageNews,"['BetoForPresident', 'Election2020', 'Tcot', 'TrumpTrain', 'instagramdown', 'FacebookDown']"
2019-03-14 15:46:55,Is it just me or is #FacebookDown &amp; #instagramdown hapning just before @facebook faces a criminal probe on their data practices awfully close to each other?  Did they lose a lot of incriminating data? @nytimes @JeremyClarkson @BernieSanders @BBCClick https://t.co/mwdzcrXwMa,arjunbhadana,"['FacebookDown', 'instagramdown']"
2019-03-14 15:46:23,"This weeks 7/7/7 rooms are up for Sandals &amp; Beaches! Couldn’t post yesterday because of #InstagramDown and #FacebookDown - so here they are! Contact me today for all booking information, deposits as low as $49/PER PERSON! #SandalsSpecialist #SandalsTravelAgent #ShopSmallBusiness https://t.co/ZHMEwxTBsX",KerriedAwayDest,"['InstagramDown', 'FacebookDown', 'SandalsSpecialist', 'SandalsTravelAgent', 'ShopSmallBusiness']"
2019-03-14 15:44:49,"I thoughts it's just my network but seems many people were facing loading and shutting down issues on @instagram , @facebook , @WhatsApp and @gmail. 🧐  #instagramdown #FacebookDown #whatsappdown",lahoti_poonam,"['instagramdown', 'FacebookDown', 'whatsappdown']"
2019-03-14 15:44:38,Zuckerberg under investigation sends off a warning shot yesterday about how the world would be without his platforms #FacebookDown #instagramdown #power,davidlongtyrone,"['FacebookDown', 'instagramdown', 'power']"
2019-03-14 15:44:00,Yesterday we had #FacebookDown #instagramdown &amp; #WhatsAppdown.  Interesting to see from our survey that no one chose a return to traditional print ads! What alternatives are there for your business if #SocialMedia was no more? #ThursdayThoughts https://t.co/BwDRkttVHx,MGMclinics,"['FacebookDown', 'instagramdown', 'WhatsAppdown', 'SocialMedia', 'ThursdayThoughts']"
2019-03-14 15:43:22,Hope everyone enjoyed #instagramdown #FacebookDown yesterday as much as I did😘  #DMRequests #imdeadaf 😂 https://t.co/8rAT9YwGCU,CharlieKae17,"['instagramdown', 'FacebookDown', 'DMRequests', 'imdeadaf']"
2019-03-14 15:43:04,HCM systems are critical for taking care of you people! Make sure you have the right one in place: https://t.co/QvGhbi4CSQ #facebookdown #instagramdown #whatsappdown #gmaildown,paulsarvadi_,"['facebookdown', 'instagramdown', 'whatsappdown', 'gmaildown']"
2019-03-14 15:43:01,"With Facebook and Instagram down for so long, I begin to wonder if they had information that would have led to the arrest of Hillary Clinton #FacebookBlackout2019 #FacebookDown #InstagramDown",RevDocGabriel,"['FacebookBlackout2019', 'FacebookDown', 'InstagramDown']"
2019-03-14 15:42:25,Down #FacebookDown #cartoon #comics #humor #umorismo #satira #fumetti #vignette #14marzo #instagramdown #whatsappdown https://t.co/3oTxp9sUx0,IgnazioIgnant,"['FacebookDown', 'cartoon', 'comics', 'humor', 'umorismo', 'satira', 'fumetti', 'vignette', '14marzo', 'instagramdown', 'whatsappdown']"
